"CLASSSTATUS;""CAMPUSID"";""CAMPUSNAME"";""ACADYEAR"";""SEMESTER"";""COURSEID"";""CURRIC"";""COURSENAME"";""CREDIT"";""SECTIONGROUP"";""ENROLLAMOUNT""",
"W;2;""RANGSIT"";2552;1;""AT309"";""471"";""	RICE AND PRODUCTION TECHNOLOGY"";3;""650001"";8",
"W;2;""RANGSIT"";2552;1;""CS101"";""471"";""DISCRETE MATHEMATICS FOR COMPUTER SCIENCE"";3;""650001"";4",
"W;2;""RANGSIT"";2552;1;""CS101"";""521"";""DISCRETE STRUCTURES"";3;""010001"";77",
"W;2;""RANGSIT"";2552;1;""CS101"";""521"";""DISCRETE STRUCTURES"";3;""650001"";84",
"W;2;""RANGSIT"";2552;1;""CS102"";""471"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""650001"";7",
"W;2;""RANGSIT"";2552;1;""CS102"";""521"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""020301"";38",
"W;2;""RANGSIT"";2552;1;""CS102"";""521"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""020302"";39",
"W;2;""RANGSIT"";2552;1;""CS102"";""521"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""650001"";84",
"W;2;""RANGSIT"";2552;1;""CS103"";""521"";""INTRODUCTION TO COMPUTER PROGRAMMING"";3;""070001"";0",
"W;2;""RANGSIT"";2552;1;""CS103"";""521"";""INTRODUCTION TO COMPUTER PROGRAMMING"";3;""070002"";0",
"W;2;""RANGSIT"";2552;1;""CS111"";""471"";""OBJECT-ORIENTED PROGRAMMING"";4;""650001"";18",
"W;2;""RANGSIT"";2552;1;""CS213"";""471"";""DATA STRUCTURES"";3;""650001"";75",
"W;2;""RANGSIT"";2552;1;""CS223"";""471"";""COMPUTER ORGANIZATION AND ARCHITECTURE"";3;""650001"";84",
"W;2;""RANGSIT"";2552;1;""CS284"";""471"";""INTRODUCTION TO SOFTWARE ENGINEERING"";3;""650001"";75",
"W;2;""RANGSIT"";2552;1;""CS285"";""471"";""SOCIAL AND PROFESSIONAL ISSUES"";1;""650001"";50",
"W;2;""RANGSIT"";2552;1;""CS314"";""471"";""THEORY OF COMPUTATION"";3;""650001"";40",
"W;2;""RANGSIT"";2552;1;""CS326"";""471"";""EMBEDDED SYSTEMS DESIGN"";3;""650001"";18",
"W;2;""RANGSIT"";2552;1;""CS341"";""471"";""OPERATING SYSTEMS 1"";3;""650001"";49",
"W;2;""RANGSIT"";2552;1;""CS351"";""471"";""DATABASE SYSTEMS 1"";3;""650001"";6",
"C;2;""RANGSIT"";2552;1;""CS356"";""471"";""	COMPUTER APPLICATIONS IN BUSINESS"";3;""650001"";0",
"W;2;""RANGSIT"";2552;1;""CS365"";""471"";""ARTIFICIAL INTELLIGENT SYSTEMS"";3;""650001"";18",
"W;2;""RANGSIT"";2552;1;""CS375"";""471"";""COMPUTER GRAPHICS 1"";3;""650001"";15",
"W;2;""RANGSIT"";2552;1;""CS376"";""471"";""GEOMETRIC MODELING"";3;""650001"";2",
"W;2;""RANGSIT"";2552;1;""CS381"";""471"";""OBJECT-ORIENTED ANALYSIS AND DESIGN"";3;""650001"";41",
"W;2;""RANGSIT"";2552;1;""CS382"";""471"";""COMPONENT-BASED SOFTWARE DEVELOPMENT"";3;""650001"";17",
"W;2;""RANGSIT"";2552;1;""CS383"";""471"";""SOFTWARE PROCESS AND QUALITY ASSURANCE"";3;""650001"";25",
"W;2;""RANGSIT"";2552;1;""CS385"";""471"";""SOFTWARE REQUIREMENT SPECIFICATION AND MANAGEMENT"";3;""650001"";26",
"W;2;""RANGSIT"";2552;1;""CS386"";""471"";""SOFTWARE CONFIGURATION MANAGEMENT"";3;""650001"";15",
"W;2;""RANGSIT"";2552;1;""CS387"";""471"";""WEB APPLICATION AND ENTERPRISE PROGRAMS"";3;""650001"";9",
"W;2;""RANGSIT"";2552;1;""CS446"";""471"";""NET-CENTRIC COMPUTING 2"";3;""650001"";2",
"W;2;""RANGSIT"";2552;1;""CS449"";""471"";""SELECTED TOPICS IN NET-CENTRIC COMPUTING"";3;""650001"";2",
"W;2;""RANGSIT"";2552;1;""CS456"";""471"";""MANAGEMENT INFORMATION SYSTEMS"";3;""650001"";13",
"C;2;""RANGSIT"";2552;1;""CS457"";""471"";""DATABASE SYSTEMS 2"";3;""650001"";0",
"W;2;""RANGSIT"";2552;1;""CS469"";""471"";""SELECTED TOPICS IN ARTIFICIAL  INTELLIGENT SYSTEMS"";3;""650001"";20",
"W;2;""RANGSIT"";2552;1;""CS477"";""471"";""	COMPUTER ANIMATION"";3;""650001"";1",
"W;2;""RANGSIT"";2552;1;""CS488"";""471"";""FORMAL METHODS"";3;""650001"";18",
"W;2;""RANGSIT"";2552;1;""CS489"";""471"";""SELECTED TOPICS IN SOFTWARE ENGINEERING"";3;""650001"";27",
"W;2;""RANGSIT"";2552;1;""CS491"";""471"";""SPECIAL TOPICS   1"";2;""650001"";53",
"W;2;""RANGSIT"";2552;1;""CS492"";""471"";""SPECIAL TOPICS 2"";4;""650001"";6",
"W;2;""RANGSIT"";2552;1;""EL070"";""471"";""ENGLISH COURSE 1"";3;""650001"";0",
"W;2;""RANGSIT"";2552;1;""EL070"";""521"";""ENGLISH COURSE 1"";3;""650001"";16",
"W;2;""RANGSIT"";2552;1;""EL171"";""471"";""ENGLISH COURSE 2"";3;""650001"";0",
"W;2;""RANGSIT"";2552;1;""EL171"";""521"";""ENGLISH COURSE 2"";3;""650001"";61",
"W;2;""RANGSIT"";2552;1;""EL296"";""471"";""ENGLISH FOR SCIENCE AND TECHNOLOGY 1"";3;""650001"";76",
