subject,accuracy(%),,
MA211,43.73430666,,
CS102,41.40451918,,
CS101,53.16802497,,
TU154,33.93198743,,
TH161,48.05684761,,
CS111,42.46409013,,
CS213,50.43878024,,
EL171,38.93103518,,
SC135,32.15609724,,
PY228,51.07709577,,
EL172,45.77422206,,
SC185,57.31608832,,
TU110,49.70127705,,
CS223,57.05733153,,
TU120,48.75706585,,
ST216,36.43859079,,
CS284,47.06359413,,
EL295,54.79121272,,
TU130,61.92847083,,
MA212,36.36290556,,
CS314,38.86286313,,
MA332,42.48067227,,
CS222,49.27808476,,
CS214,46.38608481,,
CS261,53.68077641,,
CS251,52.90795684,,
CS281,58.71412574,,
CS341,57.40939267,,
EL395,43.25985729,,
CS301,59.8672717,,
CS311,45.99042897,,
CS374,53.39950358,,
CS302,64.54876922,,
CS401,72.34257548,,
CS342,66.6107464,,
CS105,30.88122648,,
HO201,60.75629397,,
CS395,53.15498575,,
CS402,54.3075307,,
CS365,56.54461415,,
EL070,89.98696493,,
AT326,62.96746024,,
TU100,50.95265105,,
CS289,54.81522056,,
CS385,56.37636088,,
AT316,60.0952381,,
CS288,40.71759259,,
CS326,56.79465449,,
TU122,43.55145929,,
CS487,53.67416335,,
CS211,44.83588761,,
CS489,48.08058431,,
SC123,39.75523349,,
SC173,64.49466089,,
CS296,33.88187465,,
CS488,76.14906832,,
SW111,47.02328945,,
CS367,42.40896359,,
SW365,58.41339869,,
CS486,57.7004644,,
SW212,70.13772176,,
CS215,47.79761905,,
CS409,47.05555556,,
SW221,69.58006536,,
CS386,47.16138763,,
CS366,48.16138763,,
CS295,29.48351648,,
CS377,50.28679654,,
LA209,42.41666667,,
CS456,48.66267066,,
CS467,40.14005602,,
CS300,76.12820513,,
SW478,74.55411255,,
SW213,67.5990676,,
BA291,41.71428571,,
MW314,68.997003,,
SW475,66.66666667,,
CS396,48.06637807,,
CS427,37.27383727,,
ES356,46.65268065,,
CS387,41.81041181,,
CS286,48.34498834,,
CS297,49.22222222,,
CS429,61.02020202,,
CS446,47.82828283,,
SW335,45.35858586,,
CS356,41.89393939,,
HR201,40.75252525,,
CS459,70.98989899,,
NS132,82.88888889,,
SO201,49.73232323,,
TA395,60.30952381,,
CJ321,65.42857143,,
CS397,39.71428571,,
CS398,27.91269841,,
CS348,59.48051948,,
CJ317,74,,
CJ316,60.77777778,,
CS407,51.07142857,,
MA216,58.88888889,,
MW313,61.66666667,,
CS115,70.83333333,,
CS457,52.19047619,,
CS388,63.23809524,,
CS426,45.92857143,,
CS449,83.33333333,,
CS408,60.42857143,,
CJ315,65.42857143,,
CS285,69.04761905,,
CS399,79.33333333,,
