STUDENTID,ACADYEAR,SEMESTER,CAMPUSID,COURSEID,CAMPUSNAME,CURRIC,COURSENAME,SECTIONGROUP,CREDIT
316645,2552,2,2,CS111,RANGSIT,521,OBJECT-ORIENTED PROGRAMMING,40501,4
316645,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
316646,2552,2,2,CS111,RANGSIT,521,OBJECT-ORIENTED PROGRAMMING,40501,4
316646,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
316647,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
316647,2553,1,2,AT326,RANGSIT,521,RICE AND PRODUCTION TECHNOLOGY,10001,3
316647,2553,1,2,CS102,RANGSIT,521,COMPUTER PROGRAMMING FUNDAMENTALS,30202,4
316647,2553,1,2,CS214,RANGSIT,521,SOCIAL AND PROFESSIONAL ETHICS,1,1
316647,2553,1,2,JC201,RANGSIT,521,LAW AND ETHICS OF MASS COMMUNICATION,40001,3
316647,2553,1,2,SW111,RANGSIT,521,PHILOSOPHICAL FOUNDATIONS AND PROFESSIONAL ETHICS,810001,3
316647,2553,1,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
316647,2553,1,2,TU153,RANGSIT,521,GENERAL CONCEPT OF COMPUTER,900001,3
316757,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
316757,2552,3,1,LA209,THA PRACHAN,521,CIVIL AND COMMERCIAL LAW,824503,3
321848,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
321849,2553,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
321849,2553,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40001,3
321849,2555,2,2,EL202,RANGSIT,521,ENGLISH FOR WORK,80002,3
321849,2555,2,2,JP172,RANGSIT,522,JAPANESE 2,810201,3
321850,2554,1,2,EG241,RANGSIT,521,LISTENING - SPEAKING 1,80002,3
324840,2552,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
324840,2552,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
324840,2552,2,2,CS111,RANGSIT,521,OBJECT-ORIENTED PROGRAMMING,40501,4
324840,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
324840,2553,1,2,CS213,RANGSIT,521,DATA STRUCTURES,50002,3
324840,2553,1,2,CS222,RANGSIT,521,PROGRAMMING LANGUAGES AND PARADIGMS,910001,3
324840,2553,1,2,CS223,RANGSIT,521,COMPUTER ORGANIZATION AND ARCHITECTURE,40002,3
324840,2553,1,2,CS284,RANGSIT,521,INTRODUCTION TO SOFTWARE ENGINEERING,900001,3
324840,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,70001,3
324840,2553,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40003,3
324840,2554,2,2,CS326,RANGSIT,521,EMBEDDED SYSTEMS DESIGN,100001,3
324842,2552,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
324842,2552,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
324842,2552,2,2,CS111,RANGSIT,521,OBJECT-ORIENTED PROGRAMMING,40501,4
324842,2552,2,2,EL171,RANGSIT,521,ENGLISH COURSE 2,100001,3
324842,2553,1,2,CS222,RANGSIT,521,PROGRAMMING LANGUAGES AND PARADIGMS,910001,3
324842,2553,1,2,CS223,RANGSIT,521,COMPUTER ORGANIZATION AND ARCHITECTURE,40002,3
324842,2553,1,2,PE245,RANGSIT,521,STUDENT AND SELF-DEVELOPMENT,130001,2
324842,2553,2,2,CS251,RANGSIT,521,DATABASE SYSTEMS 1,20001,3
324842,2553,2,2,CS261,RANGSIT,521,HUMAN INFORMATION PROCESSING,90001,3
324842,2553,2,2,CS281,RANGSIT,521,OBJECT-ORIENTED ANALYSIS AND DESIGN,780001,3
324842,2553,2,2,CS295,RANGSIT,521,MATHEMATICS FOR COMPUTER GRAPHICS,50001,3
324842,2553,2,2,CS296,RANGSIT,521,ART AND DESIGN FOUNDATIONS,980001,3
324842,2553,2,2,MA332,RANGSIT,521,LINEAR ALGEBRA,30001,3
324842,2553,2,2,SC135,RANGSIT,521,GENERAL PHYSICS,830001,3
324842,2553,2,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,8201,1
324842,2553,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40001,3
324842,2553,2,2,TU122,RANGSIT,521,LAW IN EVERYDAY LIFE,820001,3
324842,2554,1,2,CS101,RANGSIT,521,DISCRETE STRUCTURES,10001,3
324842,2554,1,2,CS223,RANGSIT,521,COMPUTER ORGANIZATION AND ARCHITECTURE,40001,3
324842,2554,1,2,CS284,RANGSIT,521,INTRODUCTION TO SOFTWARE ENGINEERING,900001,3
324842,2554,1,2,MA211,RANGSIT,521,CALCULUS 1,70001,3
325073,2552,2,2,CS111,RANGSIT,521,OBJECT-ORIENTED PROGRAMMING,40501,4
325073,2552,2,2,EL171,RANGSIT,521,ENGLISH COURSE 2,100001,3
325073,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
325073,2552,2,2,PY228,RANGSIT,521,PSYCHOLOGY OF INTERPERSONAL RELATIONS,10001,3
325073,2552,2,2,SW111,RANGSIT,521,PHILOSOPHICAL FOUNDATIONS AND PROFESSIONAL ETHICS,810001,3
325073,2552,2,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,320001,3
325073,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,870001,3
325073,2553,1,2,CS213,RANGSIT,521,DATA STRUCTURES,50001,3
325073,2553,1,2,CS214,RANGSIT,521,SOCIAL AND PROFESSIONAL ETHICS,1,1
325073,2553,1,2,CS284,RANGSIT,521,INTRODUCTION TO SOFTWARE ENGINEERING,900001,3
325073,2553,1,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,780001,3
325073,2553,1,2,TU130,RANGSIT,521,INTEGRATED SCIENCES AND TECHNOLOGY,320001,3
325073,2553,2,2,DA236,RANGSIT,521,NORTHERN AND NORTHEASTERN THAI DANCES,213201,3
325073,2553,2,2,DA386,RANGSIT,521,KHON (MASK DANCE DRAMA) AND NANG YAI  (CLASSICAL SHADOW  PLAY),548601,3
325073,2553,2,2,MU100,RANGSIT,521,INTRODUCTION TO MUSIC,780001,3
325073,2553,2,2,MU201,RANGSIT,521,DEVELOPMENT OF THAI MUSIC,900001,3
325073,2553,2,2,SW485,RANGSIT,521,INFORMATION TECHNOLOGIES AND MEDIA IN SOCIAL WORK,910001,3
325073,2553,2,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,540001,3
325073,2553,2,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,910001,3
325073,2553,2,2,TU130,RANGSIT,521,INTEGRATED SCIENCES AND TECHNOLOGY,450001,3
329171,2552,1,2,EL171,RANGSIT,521,ENGLISH COURSE 2,100004,3
329171,2553,1,2,HO201,RANGSIT,521,PRINCIPLES OF MANAGEMENT,20001,3
329171,2553,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40001,3
329171,2555,1,2,HO201,RANGSIT,521,PRINCIPLES OF MANAGEMENT,20001,3
329172,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
329172,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329172,2553,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40002,3
329173,2553,3,1,TU122,THA PRACHAN,521,LAW IN EVERYDAY LIFE,388301,3
329173,2554,1,2,CS314,RANGSIT,521,THEORY OF COMPUTATION,40001,3
329173,2554,1,2,CS409,RANGSIT,521,SELECTED TOPICS IN COMPUTER SCIENCE,830001,3
329174,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329174,2555,1,2,SO201,RANGSIT,521,INTRODUCTION TO SOCIOLOGY,20001,3
329174,2555,2,2,TU116,RANGSIT,521,MAN AND ARTS : VISUAL ART MUSIC AND PERFORMING ARTS,780001,3
329175,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329175,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
329175,2553,2,2,AT316,RANGSIT,521,INDUSTRIAL AND POWER PLANTS,60001,3
329175,2553,2,2,MA332,RANGSIT,521,LINEAR ALGEBRA,30001,3
329176,2553,1,2,HO201,RANGSIT,521,PRINCIPLES OF MANAGEMENT,20001,3
329176,2553,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40001,3
329176,2554,1,2,FN211,RANGSIT,521,FINANCIAL MARKETS,810001,3
329176,2554,1,2,HO201,RANGSIT,521,PRINCIPLES OF MANAGEMENT,20001,3
329176,2554,2,2,CS285,RANGSIT,521,PRACTICES AND PATTERNS IN OBJECT-ORIENTED PROGRAMMING,50001,3
329176,2554,3,1,TU122,THA PRACHAN,521,LAW IN EVERYDAY LIFE,388301,3
329176,2555,1,2,CS488,RANGSIT,521,FORMAL METHODS,10001,3
329176,2555,1,2,HO201,RANGSIT,521,PRINCIPLES OF MANAGEMENT,20001,3
329177,2553,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
329177,2555,1,2,CS387,RANGSIT,521,WEB APPLICATION AND ENTERPRISE PROGRAMS,30001,3
329177,2555,2,2,CS356,RANGSIT,521,"	COMPUTER APPLICATIONS IN BUSINESS",30001,3
329178,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
329178,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329179,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
329179,2553,1,2,CS213,RANGSIT,521,DATA STRUCTURES,50001,3
329179,2553,1,2,CS214,RANGSIT,521,SOCIAL AND PROFESSIONAL ETHICS,1,1
329179,2553,1,2,CS222,RANGSIT,521,PROGRAMMING LANGUAGES AND PARADIGMS,910001,3
329179,2553,1,2,EL295,RANGSIT,521,ACADEMIC ENGLISH 1,70001,3
329179,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
329180,2553,2,2,ES356,RANGSIT,521,ECO-TOURISM,810002,3
329180,2554,1,2,CS289,RANGSIT,521,SOFTWARE PROCESS AND QUALITY ASSURANCE,90001,3
329180,2554,1,2,CS314,RANGSIT,521,THEORY OF COMPUTATION,40001,3
329181,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329181,2554,2,2,CS348,RANGSIT,521,INTRODUCTION TO CLUSTER COMPUTING AND DISTRIBUTED COMPUTING,50001,3
329181,2554,2,2,CS447,RANGSIT,521,OPERATING SYSTEM 2,90001,3
329182,2555,1,2,CS386,RANGSIT,521,SOFTWARE CONFIGURATION MANAGEMENT,30001,3
329183,2554,1,2,CS314,RANGSIT,521,THEORY OF COMPUTATION,40001,3
329184,2552,2,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,320001,3
329184,2553,2,2,MA332,RANGSIT,521,LINEAR ALGEBRA,30001,3
329185,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329185,2553,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40001,3
329186,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329187,2553,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40001,3
329187,2554,1,2,CS314,RANGSIT,521,THEORY OF COMPUTATION,40001,3
329187,2554,2,2,CS286,RANGSIT,521,MATHEMATICS AND PROFESSIONAL PRACTICES FOR SOFTWARE ENGINEERING,100001,3
329188,2553,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
329188,2553,2,2,MA332,RANGSIT,521,LINEAR ALGEBRA,30001,3
