"CLASSSTATUS;""CAMPUSID"";""CAMPUSNAME"";""ACADYEAR"";""SEMESTER"";""COURSEID"";""CURRIC"";""COURSENAME"";""CREDIT"";""SECTIONGROUP"";""STUDYDAY"";""STUDYTIMEFROM"";""STUDYTIMETO"";""ROOM""",
"W;2;""RANGSIT"";2552;1;""CS101"";""471"";""DISCRETE MATHEMATICS FOR COMPUTER SCIENCE"";3;""650001"";""FRI"";30/12/1899 9:30:00;30/12/1899 12:25:00;""SC3048""",
"W;2;""RANGSIT"";2552;1;""CS101"";""521"";""DISCRETE STRUCTURES"";3;""010001"";""TUE"";30/12/1899 8:00:00;30/12/1899 9:25:00;""SC3050""",
"W;2;""RANGSIT"";2552;1;""CS101"";""521"";""DISCRETE STRUCTURES"";3;""010001"";""THU"";30/12/1899 8:00:00;30/12/1899 9:25:00;""SC3050""",
"W;2;""RANGSIT"";2552;1;""CS101"";""521"";""DISCRETE STRUCTURES"";3;""650001"";""FRI"";30/12/1899 9:30:00;30/12/1899 12:25:00;""SC3048""",
"W;2;""RANGSIT"";2552;1;""CS102"";""471"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""650001"";""WED"";30/12/1899 11:00:00;30/12/1899 12:25:00;""ติดต่อภาค""",
"W;2;""RANGSIT"";2552;1;""CS102"";""471"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""650001"";""WED"";30/12/1899 15:00:00;30/12/1899 16:25:00;""ติดต่อภาค""",
"W;2;""RANGSIT"";2552;1;""CS102"";""471"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""650001"";""WED"";30/12/1899 13:30:00;30/12/1899 14:55:00;""LC5-S210""",
"W;2;""RANGSIT"";2552;1;""CS102"";""471"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""650001"";""TUE"";30/12/1899 13:30:00;30/12/1899 14:55:00;""LC5-S210""",
"W;2;""RANGSIT"";2552;1;""CS102"";""521"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""020301"";""THU"";30/12/1899 11:00:00;30/12/1899 12:25:00;""ติดต่อภาค""",
"W;2;""RANGSIT"";2552;1;""CS102"";""521"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""020301"";""TUE"";30/12/1899 11:00:00;30/12/1899 12:25:00;""ติดต่อภาค""",
"W;2;""RANGSIT"";2552;1;""CS102"";""521"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""020301"";""TUE"";30/12/1899 9:30:00;30/12/1899 10:55:00;""SC3050""",
"W;2;""RANGSIT"";2552;1;""CS102"";""521"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""020301"";""THU"";30/12/1899 9:30:00;30/12/1899 10:55:00;""SC3050""",
"W;2;""RANGSIT"";2552;1;""CS102"";""521"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""020302"";""TUE"";30/12/1899 11:00:00;30/12/1899 12:25:00;""ติดต่อภาค""",
"W;2;""RANGSIT"";2552;1;""CS102"";""521"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""020302"";""THU"";30/12/1899 11:00:00;30/12/1899 12:25:00;""ติดต่อภาค""",
"W;2;""RANGSIT"";2552;1;""CS102"";""521"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""020302"";""TUE"";30/12/1899 9:30:00;30/12/1899 10:55:00;""SC3049""",
"W;2;""RANGSIT"";2552;1;""CS102"";""521"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""020302"";""THU"";30/12/1899 9:30:00;30/12/1899 10:55:00;""SC3049""",
"W;2;""RANGSIT"";2552;1;""CS102"";""521"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""650001"";""WED"";30/12/1899 15:00:00;30/12/1899 16:25:00;""ติดต่อภาค""",
"W;2;""RANGSIT"";2552;1;""CS102"";""521"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""650001"";""WED"";30/12/1899 11:00:00;30/12/1899 12:25:00;""ติดต่อภาค""",
"W;2;""RANGSIT"";2552;1;""CS102"";""521"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""650001"";""TUE"";30/12/1899 13:30:00;30/12/1899 14:55:00;""LC5-S210""",
"W;2;""RANGSIT"";2552;1;""CS102"";""521"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""650001"";""WED"";30/12/1899 13:30:00;30/12/1899 14:55:00;""LC5-S210""",
"W;2;""RANGSIT"";2552;1;""CS103"";""521"";""INTRODUCTION TO COMPUTER PROGRAMMING"";3;""070001"";""WED"";30/12/1899 9:30:00;30/12/1899 10:55:00;""SC3039""",
"W;2;""RANGSIT"";2552;1;""CS103"";""521"";""INTRODUCTION TO COMPUTER PROGRAMMING"";3;""070001"";""FRI"";30/12/1899 9:30:00;30/12/1899 10:55:00;""SC3039""",
"W;2;""RANGSIT"";2552;1;""CS103"";""521"";""INTRODUCTION TO COMPUTER PROGRAMMING"";3;""070002"";""WED"";30/12/1899 9:30:00;30/12/1899 10:55:00;""SC4028""",
"W;2;""RANGSIT"";2552;1;""CS103"";""521"";""INTRODUCTION TO COMPUTER PROGRAMMING"";3;""070002"";""FRI"";30/12/1899 9:30:00;30/12/1899 10:55:00;""SC4028""",
"W;2;""RANGSIT"";2552;1;""CS213"";""471"";""DATA STRUCTURES"";3;""650001"";""WED"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC1024""",
"W;2;""RANGSIT"";2552;1;""CS213"";""471"";""DATA STRUCTURES"";3;""650001"";""WED"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC1023""",
