Sub_id;Sub_name;credit
CS101;DISCRETE STRUCTURES;3
CS102;COMPUTER PROGRAMMING FUNDAMENTALS;4
EL171;ENGLISH COURSE 2;3
SC135;GENERAL PHYSICS;3
SC185;GENERAL PHYSICS  LABORATORY;1
TH161;THAI USAGE;3
TU154;FOUNDATION OF MATHEMATICS;3
CS111;OBJECT-ORIENTED PROGRAMMING;4
EL172;ENGLISH COURSE 3;3
MA211;CALCULUS 1;3
PY228;PSYCHOLOGY OF INTERPERSONAL RELATIONS;3
TU110;INTEGRATED HUMANITIES;3
TU120;INTEGRATED SOCIAL SCIENCES;3
TU130;INTEGRATED SCIENCES AND TECHNOLOGY;3
TU122;LAW IN EVERYDAY LIFE;3
AT326;RICE AND PRODUCTION TECHNOLOGY;3
CS213;DATA STRUCTURES;3
CS214;SOCIAL AND PROFESSIONAL ETHICS;1
CS222;PROGRAMMING LANGUAGES AND PARADIGMS;3
CS223;COMPUTER ORGANIZATION AND ARCHITECTURE;3
CS284;INTRODUCTION TO SOFTWARE ENGINEERING;3
SW111;PHILOSOPHICAL FOUNDATIONS AND PROFESSIONAL ETHICS;3
AT316;INDUSTRIAL AND POWER PLANTS;3
CS251;DATABASE SYSTEMS 1;3
CS261;HUMAN INFORMATION PROCESSING;3
CS281;OBJECT-ORIENTED ANALYSIS AND DESIGN;3
MA332;LINEAR ALGEBRA;3
ST216;STATISTICS  FOR  SOCIAL  SCIENCE 1;3
LA209;CIVIL AND COMMERCIAL LAW;3
CS314;THEORY OF COMPUTATION;3
CS341;OPERATING SYSTEMS 1;3
CS365;ARTIFICIAL INTELLIGENT SYSTEMS;3
CS395;COMPUTER GRAPHICS;3
ES356;ECO-TOURISM;3
MA212;CALCULUS 2;3
CS301;FUNDAMENTAL OF RESEARCH METHODOLOGY;1
CS311;DESIGN AND ANALYSIS OF ALGORITHMS;3
CS326;EMBEDDED SYSTEMS DESIGN;3
CS342;NET-CENTRIC COMPUTING 1;3
CS356;	COMPUTER APPLICATIONS IN BUSINESS;3
CS366;FUNDAMENTAL OF NATURAL LANGUAGE PROCESSING;3
CS374;HUMAN - COMPUTER INTERACTION;3
CS302;COMPUTER SECURITY;3
CS401;SPECIAL PROJECTS  1;2
CS427;INTRODUCTION TO PARALLEL COMPUTING;3
CS446;NET-CENTRIC COMPUTING 2;3
CS449;SELECTED TOPICS IN NET-CENTRIC COMPUTING;3
CS457;DATABASE SYSTEMS 2;3
