subject,#class,
MA211,6,
CS102,6,
CS101,6,
TU154,6,
TH161,6,
CS111,6,
CS213,6,
EL171,6,
SC135,6,
PY228,6,
EL172,6,
SC185,6,
TU110,6,
CS223,6,
TU120,6,
ST216,6,
CS284,6,
EL295,6,
TU130,6,
MA212,6,
CS314,6,
MA332,6,
CS222,6,
CS214,5,
CS261,6,
CS251,6,
CS281,6,
CS341,6,
EL395,6,
CS301,5,
CS311,6,
CS374,6,
CS302,6,
CS401,3,
CS342,5,
CS105,6,
HO201,6,
CS395,6,
CS402,6,
CS365,5,
EL070,3,
AT326,4,
TU100,5,
CS289,6,
CS385,5,
AT316,4,
CS288,5,
CS326,5,
TU122,6,
CS487,6,
CS211,6,
CS489,5,
SC123,6,
SC173,6,
CS296,6,
CS488,3,
SW111,6,
CS367,4,
SW365,5,
CS486,5,
SW212,4,
CS215,5,
CS409,4,
SW221,4,
CS386,5,
CS366,5,
CS295,6,
CS377,5,
LA209,5,
CS456,5,
CS467,5,
CS300,3,
SW478,4,
SW213,4,
BA291,4,
MW314,4,
SW475,2,
CS396,5,
CS427,6,
ES356,5,
CS387,4,
CS286,5,
CS297,4,
CS429,4,
CS446,3,
SW335,4,
CS356,3,
HR201,3,
CS459,3,
NS132,4,
SO201,6,
TA395,4,
CJ321,3,
CS397,4,
CS398,5,
CS348,6,
CJ317,4,
CJ316,3,
CS407,2,
MA216,5,
MW313,2,
CS115,5,
CS457,4,
CS388,3,
CS426,4,
CS449,2,
CS408,3,
CJ315,4,
CS285,3,
CS399,2,
